size,path,is_player
0,flop_hand_cluster_0_call-raise-call-call/raise/call/call/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/fold/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/fold/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/fold/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/raise/fold,player
500,flop_hand_cluster_0_call-raise-call-call/call/fold/raise/raise,player
500,flop_hand_cluster_0_call-raise-call-call/call/fold/raise/call,player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/call/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/call/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/fold/call/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/raise/fold/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/raise/fold/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/raise/fold/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/raise/raise/fold,player
916,flop_hand_cluster_0_call-raise-call-call/call/raise/raise/raise,player
83,flop_hand_cluster_0_call-raise-call-call/call/raise/raise/call,player
124,flop_hand_cluster_0_call-raise-call-call/call/raise/call/fold,player
0,flop_hand_cluster_0_call-raise-call-call/call/raise/call/raise,player
875,flop_hand_cluster_0_call-raise-call-call/call/raise/call/call,player
0,flop_hand_cluster_0_call-raise-call-call/call/call/fold/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/call/fold/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/call/fold/call,not_player
636,flop_hand_cluster_0_call-raise-call-call/call/call/raise/fold,player
363,flop_hand_cluster_0_call-raise-call-call/call/call/raise/raise,player
0,flop_hand_cluster_0_call-raise-call-call/call/call/raise/call,player
0,flop_hand_cluster_0_call-raise-call-call/call/call/call/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/call/call/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/call/call/call/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/fold/fold/raise/raise/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/fold/fold/raise/raise/raise,not_player
0,flop_hand_cluster_0_call-raise-call-call/fold/fold/raise/raise/call,not_player
0,flop_hand_cluster_0_call-raise-call-call/fold/fold/raise/call/fold,not_player
0,flop_hand_cluster_0_call-raise-call-call/fold/fold/raise/call/raise,not_player
